username,authorid,created,text,retwc,followers,friends,polarity,subjectivity
Arnie Spivack,27734460,3/14/2018 18:40,"SCHOOL UNIFORMS SHOULD BE BULLET-PROOF EVERYTHING.

ARM ALL TEACHERS.

CHILDREN DRESSED LIKE THE GUY WHO HAS TO DISÉ?? https://t.co/KrsDGzt7He",0,231,420,0,0
SpeakingBS,8.27E+17,3/14/2018 18:40,"RT @TheeOnlyOciera: My color correction technique is so bomb, do you hear me!? IÉ??m holding on to it with my dear life. https://t.co/0NHODsHÉ??",580,102,174,0,0
Ernesto Diezmartinez,88349792,3/14/2018 18:40,RT @markmobility: Man who wanted to design Trump's wall one of three charged with bombing a Minnesota mosque. They later tried to bomb an IÉ??,25,11047,500,0,0
on vacation,8.61E+17,3/14/2018 18:40,RT @MYMYMYsaved2018: Remember this Bangtan Bomb? HoseokÉ??s VOICE THOUGH https://t.co/Gvo0TE40Ny,140,820,56,0,0
rosequartzÉ??,244273466,3/14/2018 18:40,howcome nailpolish on toes can literally survive a bomb but nailpolish on fingers will chip if you just sneeze or blink,0,339,155,0,0
KVW,250203192,3/14/2018 18:40,"RT @ShaunKing: Since the mainstream media doesn't seem to care, I've tracked down information on the first package bomb victim in Austin, TÉ??",3179,1660,2397,0.006481481,0.224074074
Wes Celestin,37981394,3/14/2018 18:40,"RT @Khanoisseur: Draylen Mason, a 17-year-old gifted musician whose life was senselessly cut short by a package bomb, was recently acceptedÉ??",612,39,249,0.166666667,0.516666667
kai ????,2478392268,3/14/2018 18:40,"RT @ShaunKing: He was a graduate of Texas State University and was an accomplished Senior Project Manager. 

I kid you not, the police assuÉ??",6038,422,334,0.2,0.5
Becky Aj,1692637692,3/14/2018 18:40,"RT @ShaunKing: He was a graduate of Texas State University and was an accomplished Senior Project Manager. 

I kid you not, the police assuÉ??",6038,186,139,0.2,0.5
on vacation,8.61E+17,3/14/2018 18:40,"RT @MYMYMYsaved2018: Never forget JiminÉ??s É??come-hither [makeup free] lookÉ?ù in this blessed Bangtan Bomb.

É??IÉ??m bringing sexy back~É?ù https:/É??",31,820,56,0.3,0.6
marleymar,8.41E+17,3/14/2018 18:40,"RT @ShaunKing: #DraylenMason.

This is the brilliant 17 year old brother who was murdered yesterday by the package bomb brought to his homeÉ??",18942,60,245,0.5,0.6
baylee,9.61E+17,3/14/2018 18:40,"RT @ShaunKing: #DraylenMason.

This is the brilliant 17 year old brother who was murdered yesterday by the package bomb brought to his homeÉ??",18942,25,30,0.5,0.6
daddy thickums,3197906635,3/14/2018 18:40,"RT @ShaunKing: #DraylenMason.

This is the brilliant 17 year old brother who was murdered yesterday by the package bomb brought to his homeÉ??",18942,55,120,0.5,0.6
Liberal Tardigrade,320788003,3/14/2018 18:40,"RT @ShaunKing: #DraylenMason.

This is the brilliant 17 year old brother who was murdered yesterday by the package bomb brought to his homeÉ??",18942,1554,2012,0.5,0.6
on vacation,8.61E+17,3/14/2018 18:40,RT @MYMYMYsaved2018: What we aint gonna do is forget this iconic bangtan bomb https://t.co/oZVUYe8kxx,24,820,56,0.5,0.5
28-Aug-55,9.08E+17,3/14/2018 18:40,"RT @ShaunKing: #DraylenMason.

This is the brilliant 17 year old brother who was murdered yesterday by the package bomb brought to his homeÉ??",18942,7,113,0.5,0.6
