username,authorid,created,text,retwc,followers,friends,polarity,subjectivity
Secular Syria????????,126974076,3/14/2018 18:39,"@SoCalWatcher @IvanSidorenko1 To expose the brutality of the Syrian terrorists, we do not need anymore to share sucÉ?? https://t.co/XfMoMLPbgt",0,7733,5679,0,0
Janym,554489147,3/14/2018 18:39,"RT @NRC_Egeland: Still possible to avert the war looming in SyriaÉ??s Idleb, Afrin and Deraa. There are millions of children there.  https://É??",2,1446,2952,0,1
Robbie Wallis,127632704,3/14/2018 18:39,RT @QalaatAlMudiq: #Pt. Such rare footage is important because it provides clear evidence #SyAF Mi-17s dropped crude &amp; unguided bombs overÉ??,40,1375,624,0.02,0.756666667
Joe barhoumi,9.72E+17,3/14/2018 18:39,Assad wins the civil war in Syria with help from the Russians. Sounds pretty bad right? Well sort of. My theory isÉ?? https://t.co/d39taqbqJe,0,7,41,0.033928571,0.600595238
shinobi,2477973888,3/14/2018 18:39,RT @Mainrushun: @peterpobjecky @ukgranddad I had exactly the same thought today. All attention moved to the British Isles and gave Syria aÉ??,1,1376,365,0.083333333,0.125
Abo abood,4505359529,3/14/2018 18:40,"RT @AJEnglish: More than 1,000 civilians have been killed in Syria's Eastern Ghouta. https://t.co/xW1ZucsNOX",683,184,14,0.15,0.25
Aanjalie Collure,295855252,3/14/2018 18:39,"In 2014, I was part of the advocacy team that pushed for the first @UN Security Council Resolution urging States toÉ?? https://t.co/zrNovFto2d",0,513,634,0.25,0.333333333
•?•????? ?˝???Ø•??˝?¯•?,472262799,3/14/2018 18:39,RT @StrategicNews1: Situation in #EasternGhouta the #SAA seems to be facing for the first time since the beginning of operations has a sembÉ??,1,330,415,0.25,0.333333333
Juana Sotomayor,498253855,3/14/2018 18:39,RT @OCHA_Syria: Read latest situation report on #EastGhouta #Syria where escalating fighting reportedly continued causing extensive civiliaÉ??,2,390,358,0.25,0.616666667
Ahmad Komaini,104371336,3/14/2018 18:39,RT @OCHA_Syria: Read latest situation report on #EastGhouta #Syria where escalating fighting reportedly continued causing extensive civiliaÉ??,2,752,700,0.25,0.616666667
Covfefe Clannad,47354540,3/14/2018 18:39,"RT @Welly_World: With Obama erasing his own red line, he ceded control of Syria to Iran and Russia. Now Trump has few good options.",3,5532,5236,0.275,0.425
Emily Jane O'Dell,1566929143,3/14/2018 18:39,"RT @JPecquet_ALM: My first column tackling Washington foreign policy debates through a Middle East lens. Comments welcome!
https://t.co/oX6É??",5,9553,8908,0.28125,0.339583333
Turkey Pulse,993464004,3/14/2018 18:39,"RT @JPecquet_ALM: My first column tackling Washington foreign policy debates through a Middle East lens. Comments welcome!
https://t.co/oX6É??",5,12434,3677,0.28125,0.339583333
Is it just me?,8.22E+17,3/14/2018 18:39,"@mikelovelyuk @mrjamesob One of my theories is that this is the exact reason they love him, he went into Syria andÉ?? https://t.co/3qJX5G9Exy",0,897,869,0.375,0.425
eric snow,9.20E+17,3/14/2018 18:39,"RT @spectatorindex: Freedom level, 2018. (100 = most free): 

Finland: 100
Canada: 99
Japan: 96
Germany: 94
France: 90
Italy: 89
US: 86
S KÉ??",193,107,807,0.45,0.65
Atharva,852348612,3/14/2018 18:39,"RT @spectatorindex: Freedom level, 2018. (100 = most free): 

Finland: 100
Canada: 99
Japan: 96
Germany: 94
France: 90
Italy: 89
US: 86
S KÉ??",193,197,282,0.45,0.65
Erveda Sansi,178033599,3/14/2018 18:40,RT @mutludc: Please hear the scream of civilians inside #Afrin. The region has been one of the most stable part of Syria is bombed cruellyÉ??,106,71,364,0.5,0.5
Pjotr Henriet,235941736,3/14/2018 18:39,RT @mutludc: Please hear the scream of civilians inside #Afrin. The region has been one of the most stable part of Syria is bombed cruellyÉ??,106,460,1757,0.5,0.5
Sara Shouhayib,7.28E+17,3/14/2018 18:39,Props to the @WTOL11Toledo marketing team for this latest promo about my Syria story that airs tomorrow at 5! https://t.co/YlCL6i1wRj,0,1146,539,0.625,0.9
