username,authorid,created,text,retwc,followers,friends,polarity,subjectivity
Mischievous,7.82E+17,3/14/2018 18:38,"RT @bravotical: This Petition is for Sunil Narine to Join Pakistan National Team, RT to spread these words till he gets nationality",2,1272,246,0,0
Shumaila,2732721429,3/14/2018 18:38,"RT @ZaidZamanHamid: This Pakistan is too sacred to be handed over to mafias, traitors, ethnic and sectarian terrorists and petty cockroacheÉ??",8,1228,787,0,0
m,576596591,3/14/2018 18:38,"RT @RadicalMariposa: Support your transgender sisters in the Global South! 

WomenÉ??s March É?? Karachi, Pakistan https://t.co/uVPt22OtDx",3480,563,484,0,0
Rachel Miller,391317360,3/14/2018 18:37,"RT @WHOPakistan: This week, 22 million children in #Pakistan will be vaccinated against #polio during a door-to-door campaign. Oral polio vÉ??",89,716,1830,0,0
sophia ahmed,23484683,3/14/2018 18:37,RT @mahwashajaz_: I will be speaking at a commemorative seminar held in the honor of @Asma_Jahangir tomorrow at 8 pm (not at 4 pm as statedÉ??,17,2228,2997,0,0
chasity brandt,9.74E+17,3/14/2018 18:38,"RT @Arslan_Sadiq: AssalamuAlaikum,
I'm going to launch Social Media Team of Twitter Trend Setters. We will work for #Islam and Ideology ofÉ??",2020,1,44,0.033333333,0.066666667
kaila wilkie,9.74E+17,3/14/2018 18:38,"RT @Arslan_Sadiq: AssalamuAlaikum,
I'm going to launch Social Media Team of Twitter Trend Setters. We will work for #Islam and Ideology ofÉ??",2020,0,6,0.033333333,0.066666667
shanell ackarie,9.74E+17,3/14/2018 18:37,"RT @Arslan_Sadiq: AssalamuAlaikum,
I'm going to launch Social Media Team of Twitter Trend Setters. We will work for #Islam and Ideology ofÉ??",2020,0,54,0.033333333,0.066666667
miss_dhlamini,8.38E+17,3/14/2018 18:38,"RT @TonyTrill40: RT for awareness. 
.

We are going to die
.
Only buy soft drinks from trusted supermarkets and avoid buting from PakistanÉ??",383,1537,1784,0.05,0.675
AsadUllah Qamar,8.43E+17,3/14/2018 18:38,RT @WomenInKhaki: Shahida Malik - #Pakistan's first female Major General. She is widely respected for her grace and humility. http://t.co/7É??,34,199,209,0.0525,0.38
Anil Dikshit,80866091,3/14/2018 18:38,RT @ammarawrites: A bomb just exploded near the home of Sharif brothers in Lahore. Seven people have died and a dozen others have been injuÉ??,18,635,125,0.1,0.4
Muhammad  Khan,366538665,3/14/2018 18:38,"RT @PTIofficial: -@KP_Police1 has become one of the most advance and sophisticated Police Force of Pakistan in last few years 

#DayWithKPPÉ??",35,1156,142,0.2,0.416666667
Tayab,4783133308,3/14/2018 18:37,"Pakistan ll never see Nawaz Sharif and Rahil Sharif performance 

Thanks Sharifs",0,479,562,0.2,0.2
Rizwan Haider,9.58E+17,3/14/2018 18:37,RT @ImranKhanPTI: We welcome the CJ probe into adverts where SS was told to return the taxpayers' money he spent on personal publicity. NowÉ??,1852,60,96,0.233333333,0.433333333
Nauman,319440975,3/14/2018 18:38,Unpredictable like Pakistan and never going to win PSL like SA hasn't won the WC like it's on their nerves now. https://t.co/YnjGC5cb3a,0,709,106,0.316666667,0.7
danielle,9.74E+17,3/14/2018 18:38,"RT @zeonexchange: @jayadipa @neonexchange We heard your feedback, so we've set aside 1 Million NEX for a special sale to citizens of AlgeriÉ??",135,0,29,0.357142857,0.571428571
wasif mehmood,115592591,3/14/2018 18:38,"RT @PakistanNature: How about a hot tea with a stunning background as this? 

This is Murree, Pakistan

Snapchat: TravelPK

#tt #ttot #TravÉ??",14,68,282,0.375,0.925
Abigal khan,1089145765,3/14/2018 18:37,RT @Jalal_Ishaq: First find the fountain of youth for him then pass a law to make him King of Pakistan for all times to come!! There's no sÉ??,5,54,110,0.390625,0.333333333
Ch.Azhar Hasnain,7.50E+17,3/14/2018 18:38,"RT @ShehzadRoy: Thank you Mr Chaiman. Your Mother, Mohtarma Benazir Bhutto was mentioned so many times during my meetings  with the int comÉ??",71,941,988,0.5,0.5
Asif aziz,426989632,3/14/2018 18:38,"RT @PTI_KHI: Plant a tree, save nature.
Better Environment.
Better Health.
Better Tomorrow.

Lets come together with Imran Khan and Make PaÉ??",13,23344,2103,0.5,0.5
Shuja Hasan,125591222,3/14/2018 18:38,"RT @ShehzadRoy: Thank you Mr Chaiman. Your Mother, Mohtarma Benazir Bhutto was mentioned so many times during my meetings  with the int comÉ??",71,220,434,0.5,0.5
