username,authorid,created,text,retwc,followers,friends,polarity,subjectivity
"Yes, IMSCARED ????",86146534,3/14/2018 18:37,The NRA is a terrorist organization.  https://t.co/hYrZuDV2Hz,0,806,886,0,0
Lacey,349277032,3/14/2018 18:37,RT @profsassy: The fact that I don't see #DraylenMason's name plastered everywhere across my Twitter feed infuriates me. Never ever tell meÉ??,1396,91,386,0,0
Crypto millennials,8.60E+17,3/14/2018 18:37,"""Maybe we'll have another hearing after a terrorist event financed by $Crypto"" - @BradSherman.            This is SÉ?? https://t.co/F4g4BtIAkb",0,137,254,0,0
Alexia Zamora,2328198115,3/14/2018 18:37,RT @profsassy: The fact that I don't see #DraylenMason's name plastered everywhere across my Twitter feed infuriates me. Never ever tell meÉ??,1396,384,560,0,0
hailey Éùúã?è,7.88E+17,3/14/2018 18:37,RT @profsassy: The fact that I don't see #DraylenMason's name plastered everywhere across my Twitter feed infuriates me. Never ever tell meÉ??,1396,153,424,0,0
What Ever!,2732474356,3/14/2018 18:37,@mflynnJR fascist The @NRA is a terrorist organization and not only #Trump works for them but anybody who receivesÉ?? https://t.co/9OuCoppjhO,0,330,278,0,1
Craig Stockton,9.54E+17,3/14/2018 18:38,"RT @LauraLoomer: Police Chief in #PalmBeach said Corey Johnson, the 17 yr old Islamic terrorist who sliced a 13 yr old boy's throat open anÉ??",683,105,230,0.066666667,0.3
Amir Khan,63180532,3/14/2018 18:37,@Lakhbir51663199 @spvaid The dead terrorist is still Indian and deserve traditional cremation to break him free from his material bonds.,0,1324,2684,0.066666667,0.65
praise hanuman @UniversalFanCon,7.39E+17,3/14/2018 18:37,He technically a terrorist but shout out to a real one https://t.co/TAOOIi5zNo,0,190,871,0.1,0.2
MaRiaH Raza???Ê???¯,3316128059,3/14/2018 18:38,RT @viitvdotcom: #US officials confirm that #Afghanistan has become the biggest #terrorist safe haven in the world with potential to destabÉ??,8,4726,293,0.25,0.75
Robo-Kek ???ß????,8.90E+17,3/14/2018 18:38,"RT @LauraLoomer: Students in FL are walking out of class right now to protest violence.

How come students aren't talking about the 17 yr oÉ??",919,203,440,0.285714286,0.535714286
Mark Mueller,4896646593,3/14/2018 18:37,"RT @LauraLoomer: Students in FL are walking out of class right now to protest violence.

How come students aren't talking about the 17 yr oÉ??",919,354,524,0.285714286,0.535714286
Edward Cooper,185748784,3/14/2018 18:37,"RT @LauraLoomer: Students in FL are walking out of class right now to protest violence.

How come students aren't talking about the 17 yr oÉ??",919,192,161,0.285714286,0.535714286
Ralph L.,42166921,3/14/2018 18:37,"RT @LauraLoomer: Students in FL are walking out of class right now to protest violence.

How come students aren't talking about the 17 yr oÉ??",919,75,84,0.285714286,0.535714286
TeleTech Buzz,9.40E+17,3/14/2018 18:37,Omerta Trailer: Rajkumar Rao Playing Terrorist Omar proves his talent once again https://t.co/X6vzoTP7vw #TeleBuzzÉ?? https://t.co/HafOjpvji2,0,3,2,0.3,0
AdorableDeplorable.b,326834999,3/14/2018 18:37,"RT @LauraLoomer: Great work you guys!

.@FoxNews finally decided (25 min ago) to report on the 17 yr old Islamic terrorist in FL who slicedÉ??",578,2762,3601,0.366666667,0.65
English79 on gab.ai,4158855862,3/14/2018 18:38,RT @TRobinsonNewEra: Pakistani terrorist Siraj ul Haq and his Jamat Islami group supports Osama bin Laden and Taliban. They said it many tiÉ??,162,1835,2047,0.5,0.5
Lord Fudsworth,30023845,3/14/2018 18:38,RT @CryptoCobain: Mr Sherman looking hopeful for a terrorist event to redefine the narrative in his favour was an interesting one.,77,121,151,0.5,0.5
Adam,263016218,3/14/2018 18:38,@BradSherman You are telling me terrorist didn't transfer or spend money till cryptocurrency? How the hell did you get elected? Honestly..,0,76,38,0.6,0.9
