Term,polarity,subjectivity
Pakistan,0.5,0.5
Pakistan,0.033333333,0.066666667
Pakistan,0,0
Pakistan,0,0
Pakistan,0,0
Pakistan,0.1,0.4
Pakistan,0,0
Pakistan,0,0
Pakistan,0.316666667,0.7
Pakistan,0,0.533333333
Pakistan,0.5,0.5
Pakistan,0.5,0.5
Pakistan,0.2,0.416666667
Pakistan,0,0
Pakistan,0.357142857,0.571428571
Pakistan,0,0.5
Pakistan,0,0
Pakistan,0,0
Pakistan,0,0
Pakistan,-0.2,0.6
Pakistan,0,0
Pakistan,0,0.533333333
Pakistan,0,0
Pakistan,0,0
Pakistan,0,0
Pakistan,0,0
Pakistan,0.0525,0.38
Pakistan,-0.066666667,0.35
Pakistan,0,0
Pakistan,0.2,0.2
Pakistan,0,0
Pakistan,0.390625,0.333333333
Pakistan,0.033333333,0.066666667
Pakistan,0,0
Pakistan,-0.01875,0.35
Pakistan,0.233333333,0.433333333
Pakistan,-0.066666667,0.35
Syria,0.5,0.5
Syria,-0.1,0.1
Syria,0,0
Syria,-0.205555556,0.573333333
Syria,0,0.1
Syria,0,0
Syria,0.15,0.25
Syria,-0.2,0
Syria,0.275,0.425
Syria,-0.05,0.2
Syria,-0.7,0.8
Syria,0,0
Syria,0.28125,0.339583333
Syria,-0.1,0.2
Syria,-0.3,0.7
Syria,-0.228571429,0.50952381
Syria,0.5,0.5
Syria,0.25,0.333333333
Syria,0,0
Syria,0.45,0.65
Syria,0.25,0.333333333
Syria,-0.0375,0.225
Syria,0.25,0.616666667
Syria,0.375,0.425
Syria,-0.6,0.9
Syria,0,0
Syria,-0.228571429,0.50952381
Syria,0.25,0.616666667
Syria,0,0
Syria,0.625,0.9
Syria,0.28125,0.339583333
Syria,0.02,0.756666667
Syria,-0.6,0.9
Syria,-0.2,0.5
Syria,-0.3,0.7
Syria,0,0
Syria,0,0
Syria,0.033928571,0.600595238
Syria,0,0.4
Syria,0,0
Syria,0,0
Syria,0,0
Syria,0,0
Syria,0,0.1
Syria,0.45,0.65
Syria,0,0
Syria,0,0
Syria,0,0
Syria,0,1
Syria,0.083333333,0.125
Terror,-0.4,0.45
Terror,0.0625,0.5
Terror,0,0
Terror,0,0
Terror,0,0
Terror,0,0
Terror,0.157738095,0.607738095
Terror,0,0
Terror,0,0.416666667
Terror,0,0
Terror,-0.228571429,0.858928571
Terror,0.5,0.5
Terror,0,0.7
Terror,0,0
Terror,0.166666667,0.333333333
Terror,0.4,0.8
Terror,0,0
Terror,0.4,0.8
Terror,0,0
Terror,0.1,0.6
Terror,0.4,0.8
Terror,-0.01875,0.15625
Terror,-0.025,0
Terror,-0.4,0.55
