username,authorid,created,text,retwc,followers,friends,polarity,subjectivity
Bob,1005465739,3/14/2018 18:35,"RT @Tejas_Marine: Remember U.S. Army Capt. Sara M. Knutson Cullen, who passed away on this day in 2013. She was a 27-year-old BlackHawk pil…",538,1127,1952,0,0
Just another PT,364218451,3/14/2018 18:35,"RT @VashiMant: Every 44 of 100 kids in Kerala born today r Ms. Number is even more in West UP, WB, Assam. Half of India will look like Afgh…",127,222,593,0.166666667,0.333333333
IndianKashmiri,726506916,3/14/2018 18:35,"RT @VashiMant: Every 44 of 100 kids in Kerala born today r Ms. Number is even more in West UP, WB, Assam. Half of India will look like Afgh…",127,315,574,0.166666667,0.333333333
DeplorableDonna,36985886,3/14/2018 18:35,RT @MilitaryEarth: Honoring Navy Chief Cryptologic Technician (SW) Christian M. Pike who selflessly sacrificed his life five years ago in A…,1205,9446,7873,0,0
Andy Garcia,7.6354E+17,3/14/2018 18:35,"RT @TerranceCreamer: Remembering and Honoring United States Marine Corps Lance Corporal Jonathan D. Porto, 26 of Largo, Florida, assigned t…",60,134,215,0,0
Erika Stoltz🧚🏻‍♂️ ⚧,8.26442E+17,3/14/2018 18:35,RT @Perry_OB: When I was in Afghanistan an Infantry Sergeant accidentally shot himself while teaching troops how to safely clear a weapon.…,236,70,97,0.1,0.383333333
Bill Williams,234682302,3/14/2018 18:35,@josefxx1 @BettyBowers US is not perfect ... is there a nation that is?  But lets get real on Afghanistan (Russians… https://t.co/vlbVEQwngI,0,530,1279,-0.15,0.65
marvin boian,61391689,3/14/2018 18:35,RT @MilitaryEarth: Honoring Navy Chief Cryptologic Technician (SW) Christian M. Pike who selflessly sacrificed his life five years ago in A…,1205,176,1028,0,0
Rocky Wiseley,8.6606E+17,3/14/2018 18:35,"RT @TerranceCreamer: Remembering and Honoring United States Marine Corps Lance Corporal Jonathan D. Porto, 26 of Largo, Florida, assigned t…",60,710,1278,0,0
Faisal Warriech,2749540576,3/14/2018 18:34,"Mr cheap Justice, if anything happened to our leaders after seeing today blast, u will be responsible for that by t… https://t.co/Q585dd8VBV",0,19,79,0.3,0.625
Tuấn Nguyễn,1428853099,3/14/2018 18:34,Watch 30+ Afghanistan Live TV IPTV Channels with Live Net TV APK M3U v4.6 (Any Android Device)… https://t.co/DcUft7vvK4,0,473,311,0.090909091,0.333333333
cosmikdebris,1308753541,3/14/2018 18:34,"RT @LBF777: Although George HW Bush, aka Poppy, runs the worldwide drug trade, Obama, aka Renegade, ran the Afghanistan Opium market where…",4,677,600,0,0
Afghanistan Standing,7.44137E+17,3/14/2018 18:34,"@HosseinMadadiH Thats a great move but if the englishs were that civilized they would descriminate the #Irish ppl,… https://t.co/kVKjcs7T75",0,319,593,0.4,0.55
Pernicious Bovine,252141144,3/14/2018 18:34,@DARKWARG0TH @LAPDHQ @LASchoolPolice @LASchools do you live in LA? I'm guessing not. LAPD will turn rubber bullets… https://t.co/K3IurOndjK,0,1164,5000,0.136363636,0.5
Naomi Pitcairn,275220390,3/14/2018 18:34,"RT @ReThinkDrones: If Gina Haspel becomes CIA Director, she must not have authority to order drone strikes. Back in September, @ARetVet exp…",9,350,355,0,0
Rollins!,7.05195E+17,3/14/2018 18:34,"RT @TerranceCreamer: Let us Remember and Honor U.S. Army Sgt.1st Class Glen J. Whetten, 31 of Mesa, Arizona, assigned to the 1st Brigade, 1…",258,432,120,0,0
Andy Garcia,7.6354E+17,3/14/2018 18:34,RT @MilitaryEarth: Honoring Navy Chief Cryptologic Technician (SW) Christian M. Pike who selflessly sacrificed his life five years ago in A…,1205,134,215,0,0
ShlomoIndiana,8.5623E+17,3/14/2018 18:34,@freddyrace14 @robcarlson20 @WilliamsNevin @atlantis0000001 @snicker1245 @People4Republic @Finn_American @Goodoz… https://t.co/ZI71XdClrw,0,43,7,0,0
Shawn Christopher,6289232,3/14/2018 18:34,"@vexxedb4c Just watched your North Korean documentary... As someone who was stationed in Korea, and was deployed to… https://t.co/JGvHUCH4a5",0,319,661,0,0
