username,authorid,created,text,retwc,followers,friends,polarity,subjectivity
Malk Ahmed,9.37E+17,3/14/2018 18:37,"RT @citizentvkenya: Deadly Terror Report; Boinnet says suspects arrested in Isiolo planned to hit court
Attack was to help free terror suspÉ??",5,16,115,0.1,0.6
Antigone Promachos,9.70E+17,3/14/2018 18:36,"RT @DailySabah: LIVE É?? President Erdoé?an: 3,486 terrorists have been ""neutralized"" since start of #OperationOliveBranch in Syria's Afrin
htÉ??",3,56,61,0.136363636,0.5
Grave ??êØ,325581453,3/14/2018 18:37,@notaxation I mean I am grateful because I love Devil May Cry. But god damn you're right WHERE IS ONIMUSHA ITS BEENÉ?? https://t.co/iC5bluSuYG,0,161,395,0.157738095,0.607738095
Jeanette Pretorius,3422031255,3/14/2018 18:37,"RT @JacaDrive: Taxi drivers often unleash terror on the law-abiding drivers among us. But on this particular day, the driver met his matchÉ??",2,32,401,0.166666667,0.333333333
Tony MacLean,303305720,3/14/2018 18:36,RT @DVATW: Naz Shah lecturing on the danger of É??far right extremismÉ?ù even as she tells victims of Muslim rape gangs to shut up. https://t.cÉ??,198,113,29,0.192857143,0.767857143
GUNDAM,7.73E+17,3/14/2018 18:36,You will know true terror if you look down on them just because they fit in your palm.,0,470,62,0.198148148,0.446296296
FatimaBilalFarooqui,1034873744,3/14/2018 18:36,"RT @ZaidZamanHamid: Whoever be the caretaker govt, they will face a daunting task to run/recover the country after the economic collapse doÉ??",13,131,100,0.2,0.2
a scorn bro ????,164554495,3/14/2018 18:36,RT @Trillburne: the Tsar killed more innocent people in 1 day in 1794 than the Jacobins did throughout the entire period of the Terror. WhaÉ??,249,286,588,0.2,0.45625
Asad Ullah,2728764630,3/14/2018 18:36,"RT @ZaidZamanHamid: Whoever be the caretaker govt, they will face a daunting task to run/recover the country after the economic collapse doÉ??",13,79,6,0.2,0.2
saqib ali,4696367688,3/14/2018 18:36,"RT @ShoaibPTI_PP147: Strongly condemn terror attack in Raiwand, My heartfelt condolences goes out to the affected families and Pyarers forÉ??",12,113,114,0.216666667,0.866666667
Peggy Wolohan von Burkleo,148237540,3/14/2018 18:36,"RT @rmayemsinger: You're not the Second Amendment. You're a lobby of gun sellers using the 2A as a shield to sell more guns, much like a teÉ??",235,1829,1868,0.233333333,0.233333333
Stan Boston T,3010561082,3/14/2018 18:37,"RT @chuckwoolery: Muslim Mayor of London Bashes Free Speech in Texas, Ignores U.K.?ˇTerror https://t.co/eLGI5gnUkL https://t.co/aq2T6hzobp",46,1049,828,0.4,0.8
CAMullin,4493789176,3/14/2018 18:37,"RT @chuckwoolery: Muslim Mayor of London Bashes Free Speech in Texas, Ignores U.K.?ˇTerror https://t.co/eLGI5gnUkL https://t.co/aq2T6hzobp",46,356,356,0.4,0.8
Dude,3197820038,3/14/2018 18:37,"RT @chuckwoolery: Muslim Mayor of London Bashes Free Speech in Texas, Ignores U.K.?ˇTerror https://t.co/eLGI5gnUkL https://t.co/aq2T6hzobp",46,43,118,0.4,0.8
Symphony of Illusion,115543250,3/14/2018 18:36,"RT @chuckwoolery: Muslim Mayor of London Bashes Free Speech in Texas, Ignores U.K.?ˇTerror https://t.co/eLGI5gnUkL https://t.co/aq2T6hzobp",46,4622,4433,0.4,0.8
Melissa???ß????,8.70E+17,3/14/2018 18:36,"RT @chuckwoolery: Muslim Mayor of London Bashes Free Speech in Texas, Ignores U.K.?ˇTerror https://t.co/eLGI5gnUkL https://t.co/aq2T6hzobp",46,1348,1031,0.4,0.8
William,2863451998,3/14/2018 18:36,"RT @chuckwoolery: Muslim Mayor of London Bashes Free Speech in Texas, Ignores U.K.?ˇTerror https://t.co/eLGI5gnUkL https://t.co/aq2T6hzobp",46,2053,4714,0.4,0.8
Elmo,9.69E+17,3/14/2018 18:36,"RT @chuckwoolery: Muslim Mayor of London Bashes Free Speech in Texas, Ignores U.K.?ˇTerror https://t.co/eLGI5gnUkL https://t.co/aq2T6hzobp",46,29,105,0.4,0.8
Nina ???????ß????????ã?èÉ??ã?è??????????ê???ê?????,8.82E+17,3/14/2018 18:37,"RT @nanna14075: @JanzforCongress There will be more. 

https://t.co/H2ky6eOdGO 
https://t.co/dUzDX9MJZt  
@maddogpac https://t.co/xLggyB1BYQ",7,680,1387,0.5,0.5
