منصور مصلح ال غفينه,558992121,3/14/2018 18:41,RT @badrnahiss: @Abo1_1rakan @fk66_fk6 @Omar_Salem2018 @missrose4040 @l_lmss @amal22315 @semfo990 @_m_i_s_h_o @Abdullah_alslmi @aliq450 @nn…,13,1119,594,0,0
SpaceC8se,2561460083,3/14/2018 18:41,"RT @LauraLoomer: SCOOP: Several members of Congress are being briefed today regarding #ISIS ties to the #LasVegasShooting 

This is part of…",329,329,581,0,0
منصور مصلح ال غفينه,558992121,3/14/2018 18:41,RT @amal22315: @badrnahiss @Abo1_1rakan @fk66_fk6 @Omar_Salem2018 @missrose4040 @l_lmss @semfo990 @_m_i_s_h_o @Abdullah_alslmi @aliq450 @nn…,9,1119,594,0,0
tallguy,1271243202,3/14/2018 18:41,@OttawaCitizen Battling isis/taliban in space....?,0,25,104,0,0
منصور مصلح ال غفينه,558992121,3/14/2018 18:41,RT @_m_i_s_h_o: @badrnahiss @Abo1_1rakan @fk66_fk6 @Omar_Salem2018 @missrose4040 @l_lmss @amal22315 @semfo990 @Abdullah_alslmi @aliq450 @nn…,8,1119,594,0,0
EvanH ErikM,236370429,3/14/2018 18:41,"RT @PamelaGeller: Florida: Muslim stole AK-47, scouted out sniper locations, had ISIS literature https://t.co/6zIYXYGYBf https://t.co/UatfK…",210,487,549,0,0
Peter Sayford,9.68227E+17,3/14/2018 18:41,"RT @LauraLoomer: SCOOP: Several members of Congress are being briefed today regarding #ISIS ties to the #LasVegasShooting 

This is part of…",329,56,265,0,0
منصور مصلح ال غفينه,558992121,3/14/2018 18:41,RT @l_lmss: @badrnahiss @Abo1_1rakan @fk66_fk6 @Omar_Salem2018 @missrose4040 @amal22315 @semfo990 @_m_i_s_h_o @Abdullah_alslmi @aliq450 @nn…,6,1119,594,0,0
LoneStar,153537164,3/14/2018 18:41,"RT @Debradelai: (21) As a consequence, men on impeccable credencials and unimpeachable character like Rob Townley were denied clearances by…",110,12611,10697,0,0.875
منصور مصلح ال غفينه,558992121,3/14/2018 18:40,RT @missrose4040: @badrnahiss @rasxxx1144 @Abo1_1rakan @fk66_fk6 @Omar_Salem2018 @l_lmss @amal22315 @semfo990 @_m_i_s_h_o @Abdullah_alslmi…,7,1119,594,0,0
Thomas Sickler,18813840,3/14/2018 18:40,"RT @LauraLoomer: SCOOP: Several members of Congress are being briefed today regarding #ISIS ties to the #LasVegasShooting 

This is part of…",329,2388,4582,0,0
Eliezer L.,117808677,3/14/2018 18:40,RT @ALT_uscis: @NRA Oh F**k you White ISIS,6,158,502,0,0
CCL - Red Pilling Australia 🇦🇺,242650284,3/14/2018 18:40,"RT @LauraLoomer: SCOOP: Several members of Congress are being briefed today regarding #ISIS ties to the #LasVegasShooting 

This is part of…",329,861,1453,0,0
Gaurav.,7.46712E+17,3/14/2018 18:40,"RT @LauraLoomer: SCOOP: Several members of Congress are being briefed today regarding #ISIS ties to the #LasVegasShooting 

This is part of…",329,118,638,0,0
منصور مصلح ال غفينه,558992121,3/14/2018 18:40,RT @missrose4040: @lammia2015 @badrnahiss @Abo1_1rakan @fk66_fk6 @Omar_Salem2018 @l_lmss @amal22315 @semfo990 @_m_i_s_h_o @Abdullah_alslmi…,9,1119,594,0,0
#TermLimits,16016625,3/14/2018 18:40,"RT @LauraLoomer: SCOOP: Several members of Congress are being briefed today regarding #ISIS ties to the #LasVegasShooting 

This is part of…",329,47,119,0,0
Sheila,9.1607E+17,3/14/2018 18:40,"RT @LauraLoomer: Police Chief in #PalmBeach said Corey Johnson, the 17 yr old Islamic terrorist who sliced a 13 yr old boy's throat open an…",684,198,229,0.066666667,0.3
E pluribus unum,84584229,3/14/2018 18:40,Future proves past...Q American Antifa met with ISIS terrorist!  https://t.co/Be5nB2t3Hd,0,6024,6249,0.1,0.041666667
General Patton,9.01515E+17,3/14/2018 18:41,"@mosercounty @CharlotteLuko @tedlieu @realDonaldTrump That's true, but why wouldn't every American want to ""MAGA"" l… https://t.co/VEKm9bbGaG",0,26,8,0.175,0.325
Americanwoman,9.26111E+17,3/14/2018 18:40,RT @Julieannroger10: @NIXONsounds @Lauren_Southern No they welcome known Isis fighters back in without question and the trap the rewards of…,4,3743,4760,0.4,0.45
Taqwa Sharif,7.42061E+17,3/14/2018 18:41,"RT @NadiaMuradBasee: Another Yazidi temple was rebuilt in the town of Bahzani, this temple and many others were destroyed by ISIS. We will…",1048,18,405,0.5,0.5
isis 💸,2594745706,3/14/2018 18:41,RT @WasgoodNnam: You smell good is a top 2 compliment,13648,376,486,0.6,0.55
geo canaday,3290370521,3/14/2018 18:40,"RT @almostjingo: Incredible things happening people.
https://t.co/7gbULBdzZ7",18,888,777,0.9,0.9
username,authorid,created,text,retwc,followers,friends,polarity,subjectivity
